Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-18 12:31:26,2019-08-18 12:32:47,1m - 20.706s,FAILED
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,Chrome 75.0.3770.80,,,2019-08-18 12:31:27,2019-08-18 12:32:46,1m - 19.384s,FAILED
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-18 12:31:28,2019-08-18 12:31:46,18.196s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-18 12:31:46,2019-08-18 12:31:51,4.950s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-18 12:31:51,2019-08-18 12:32:08,17.029s,PASSED
"eventCreate.eventCommon.addEventDetails(EventName, EventType, EventDetails, Address, StartDate, EndDate, Timezone)",Chrome 75.0.3770.80,,,2019-08-18 12:32:08,2019-08-18 12:32:46,38.052s,FAILED
