Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-18 11:21:32,2019-08-18 11:22:19,47.365s,ERROR
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,Chrome 75.0.3770.80,,,2019-08-18 11:21:32,2019-08-18 11:22:18,46.045s,ERROR
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-18 11:21:33,2019-08-18 11:21:56,22.740s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-18 11:21:56,2019-08-18 11:22:01,4.945s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-18 11:22:01,2019-08-18 11:22:18,17.137s,PASSED
"eventCreate.eventCommon.addEventDetails(EventName, EventType, EventDetails, Address, StartDate, EndDate, timeZone)",Chrome 75.0.3770.80,,,2019-08-18 11:22:18,2019-08-18 11:22:18,0.003s,PASSED
