Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-18 12:51:12,2019-08-18 12:52:26,1m - 14.410s,PASSED
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,Chrome 75.0.3770.80,,,2019-08-18 12:51:12,2019-08-18 12:52:25,1m - 13.066s,PASSED
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-18 12:51:13,2019-08-18 12:51:37,23.179s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-18 12:51:37,2019-08-18 12:51:41,4.828s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-18 12:51:41,2019-08-18 12:51:58,17.100s,PASSED
"eventCreate.eventCommon.addEventDetails(EventName, EventType, EventDetails, Address, StartDate, EndDate, Timezone)",Chrome 75.0.3770.80,,,2019-08-18 12:51:58,2019-08-18 12:52:25,26.671s,PASSED
