Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-17 12:30:15,2019-08-17 12:30:44,28.556s,ERROR
,,,,,,,
Test Cases/SAM_TestCase/EventCreate,Chrome 75.0.3770.80,,,2019-08-17 12:30:16,2019-08-17 12:30:42,26.949s,ERROR
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-17 12:30:17,2019-08-17 12:30:38,21.176s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-17 12:30:38,2019-08-17 12:30:42,4.734s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-17 12:30:42,2019-08-17 12:30:42,0.002s,PASSED
