Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-20 07:11:07,2019-08-20 07:12:23,1m - 16.328s,PASSED
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,Chrome 75.0.3770.80,,,2019-08-20 07:11:07,2019-08-20 07:12:22,1m - 14.669s,PASSED
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-20 07:11:09,2019-08-20 07:11:31,22.176s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-20 07:11:31,2019-08-20 07:11:37,5.768s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-20 07:11:37,2019-08-20 07:11:53,15.489s,PASSED
"eventCreate.eventCommon.addEventDetails(EventName, EventType, EventDetails, Address, StartDate, EndDate, Timezone)",Chrome 75.0.3770.80,,,2019-08-20 07:11:53,2019-08-20 07:12:22,29.444s,PASSED
