Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-17 13:34:59,2019-08-17 13:36:11,1m - 11.764s,FAILED
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,Chrome 75.0.3770.80,,,2019-08-17 13:35:00,2019-08-17 13:36:10,1m - 9.771s,FAILED
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-17 13:35:02,2019-08-17 13:35:26,23.643s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-17 13:35:26,2019-08-17 13:35:32,5.938s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-17 13:35:32,2019-08-17 13:36:10,38.433s,FAILED
