Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-28 18:35:44,2019-08-28 18:36:59,1m - 14.970s,PASSED
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,Chrome 75.0.3770.80,,,2019-08-28 18:35:45,2019-08-28 18:36:58,1m - 13.253s,PASSED
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-28 18:35:46,2019-08-28 18:36:09,23.009s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-28 18:36:09,2019-08-28 18:36:15,5.775s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-28 18:36:15,2019-08-28 18:36:30,15.252s,PASSED
"eventCreate.eventCommon.addEventDetails(EventName, EventType, EventDetails, Address, StartDate, EndDate, Timezone)",Chrome 75.0.3770.80,,,2019-08-28 18:36:30,2019-08-28 18:36:58,27.583s,PASSED
