Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,,,,2019-08-18 09:54:43,2019-08-18 09:54:46,2.528s,ERROR
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,,,,2019-08-18 09:54:44,2019-08-18 09:54:46,1.465s,ERROR
common.CommonLibrary.navigateToURL(),,,,2019-08-18 09:54:45,2019-08-18 09:54:45,0.041s,ERROR
