Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-18 12:37:24,2019-08-18 12:38:21,57.521s,ERROR
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,Chrome 75.0.3770.80,,,2019-08-18 12:37:24,2019-08-18 12:38:20,56.188s,ERROR
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-18 12:37:25,2019-08-18 12:37:49,23.848s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-18 12:37:49,2019-08-18 12:37:55,6.250s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-18 12:37:55,2019-08-18 12:38:13,17.091s,PASSED
"eventCreate.eventCommon.addEventDetails(EventName, EventType, EventDetails, Address, StartDate, EndDate, Timezone)",Chrome 75.0.3770.80,,,2019-08-18 12:38:13,2019-08-18 12:38:20,7.677s,ERROR
