Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SAMTestSuite,Chrome 75.0.3770.80,,,2019-08-18 12:46:35,2019-08-18 12:48:26,1m - 50.884s,FAILED
,,,,,,,
Test Cases/SAM_TestCase/TC_EventCreate,Chrome 75.0.3770.80,,,2019-08-18 12:46:36,2019-08-18 12:48:25,1m - 49.622s,FAILED
common.CommonLibrary.navigateToURL(),Chrome 75.0.3770.80,,,2019-08-18 12:46:37,2019-08-18 12:47:13,36.382s,PASSED
"common.CommonLibrary.loginSAM(Email, Password)",Chrome 75.0.3770.80,,,2019-08-18 12:47:13,2019-08-18 12:47:18,4.730s,PASSED
eventCreate.eventCommon.selectCompany(Company),Chrome 75.0.3770.80,,,2019-08-18 12:47:18,2019-08-18 12:47:35,17.229s,PASSED
"eventCreate.eventCommon.addEventDetails(EventName, EventType, EventDetails, Address, StartDate, EndDate, Timezone)",Chrome 75.0.3770.80,,,2019-08-18 12:47:35,2019-08-18 12:48:25,50.065s,FAILED
